Estación:San Cristobal -  | Fecha y Hora              | PM2.5    | PM10    
 |                           | µg/m3    | µg/m3   
 | 31-08-2016 24:00          | 6,0      | 3,9     
 | 01-09-2016 1:00           | 7,9      | 4,9     
 | 01-09-2016 2:00           | 7,3      | 8,0     
 | 01-09-2016 3:00           | 2,5      | 8,1     
 | 01-09-2016 4:00           | 6,5      | 7,3     
 | 01-09-2016 5:00           | 7,7      | 9,1     
 | 01-09-2016 6:00           | 6,6      | 8,0     
 | 01-09-2016 7:00           | 6,3      | 10,7    
 | 01-09-2016 8:00           | 6,1      | 17,2    
 | 01-09-2016 9:00           | 9,8      | 40,2    
 | 01-09-2016 10:00          | 9,6      | 41,4    
 | 01-09-2016 11:00          | 3,6      | 14,8    
 | 01-09-2016 12:00          | 0,0      | 14,3    
 | 01-09-2016 13:00          | 0,0      | 12,7    
 | 01-09-2016 14:00          | 0,0      | 9,5     
 | 01-09-2016 15:00          | 0,0      | 7,8     
 | 01-09-2016 16:00          | 0,0      | 16,5    
 | 01-09-2016 17:00          | 1,9      | 18,2    
 | 01-09-2016 18:00          | 5,0      | 15,3    
 | 01-09-2016 19:00          | 8,6      | 18,5    
 | 01-09-2016 20:00          | 7,4      | 17,7    
 | 01-09-2016 21:00          | 10,8     | 23,8    
 | 01-09-2016 22:00          | 7,2      | 18,0    
 | 01-09-2016 23:00          | 12,0     | 15,3    
 | 01-09-2016 24:00          | 6,5      | 14,3    
 | 02-09-2016 1:00           | 6,4      | 12,8    
 | 02-09-2016 2:00           | 7,3      | 9,8     
 | 02-09-2016 3:00           | 10,2     | 4,0     
 | 02-09-2016 4:00           | 8,2      | 17,4    
 | 02-09-2016 5:00           | 7,5      | 21,8    
 | 02-09-2016 6:00           | 10,7     | 30,6    
 | 02-09-2016 7:00           | 9,8      | 28,9    
 | 02-09-2016 8:00           | 9,9      | 24,7    
 | 02-09-2016 9:00           | 7,8      | 31,4    
 | 02-09-2016 10:00          | 15,1     | 46,5    
 | 02-09-2016 11:00          | 11,0     | 27,7    
 | 02-09-2016 12:00          | 10,7     | 28,0    
 | 02-09-2016 13:00          | 0,0      | 16,7    
 | 02-09-2016 14:00          | 0,0      | 14,8    
 | 02-09-2016 15:00          | 0,0      | 13,8    
 | 02-09-2016 16:00          | 1,1      | 18,0    
 | 02-09-2016 17:00          | 4,0      | 19,4    
 | 02-09-2016 18:00          | 2,8      | 18,4    
 | 02-09-2016 19:00          | 4,9      | 17,0    
 | 02-09-2016 20:00          | 8,5      | 25,5    
 | 02-09-2016 21:00          | 8,7      | 17,0    
 | 02-09-2016 22:00          | 8,8      | 13,3    
 | 02-09-2016 23:00          | 7,3      | 21,4    
 | 02-09-2016 24:00          | 4,8      | 11,4    
 | 03-09-2016 1:00           | 7,2      | 10,9    
 | 03-09-2016 2:00           | 7,8      | 9,6     
 | 03-09-2016 3:00           | 4,2      | 8,5     
 | 03-09-2016 4:00           | 4,9      | 10,6    
 | 03-09-2016 5:00           | 4,3      | 13,3    
 | 03-09-2016 6:00           | 2,5      | 17,0    
 | 03-09-2016 7:00           | 6,6      | 27,0    
 | 03-09-2016 8:00           | 11,1     | 42,1    
 | 03-09-2016 9:00           | 6,7      | 24,5    
 | 03-09-2016 10:00          | 0,0      | 14,8    
 | 03-09-2016 11:00          | 0,0      | 13,3    
 | 03-09-2016 12:00          |          | 12,9    
 | 03-09-2016 13:00          | 0,0      | 13,4    
 | 03-09-2016 14:00          | 0,0      | 16,6    
 | 03-09-2016 15:00          |          | 17,3    
 | 03-09-2016 16:00          | 0,0      | 21,4    
 | 03-09-2016 17:00          | 8,7      | 21,4    
 | 03-09-2016 18:00          | 4,7      | 19,7    
 | 03-09-2016 19:00          | 11,4     | 19,0    
 | 03-09-2016 20:00          | 7,1      | 27,3    
 | 03-09-2016 21:00          | 11,7     | 25,8    
 | 03-09-2016 22:00          | 12,8     | 23,6    
 | 03-09-2016 23:00          | 7,5      | 13,1    
 | 03-09-2016 24:00          | 8,6      | 9,6     
 | 04-09-2016 1:00           | 1,4      | 7,5     
 | 04-09-2016 2:00           | 3,6      | 10,2    
 | 04-09-2016 3:00           | 7,9      | 11,2    
 | 04-09-2016 4:00           | 4,1      | 10,4    
 | 04-09-2016 5:00           | 4,1      | 11,4    
 | 04-09-2016 6:00           | 6,6      | 11,6    
 | 04-09-2016 7:00           | 8,4      | 11,1    
 | 04-09-2016 8:00           | 6,8      | 38,0    
 | 04-09-2016 9:00           | 2,5      | 14,8    
 | 04-09-2016 10:00          | 0,0      | 15,0    
 | 04-09-2016 11:00          | 0,0      | 14,3    
 | 04-09-2016 12:00          |          | 17,7    
 | 04-09-2016 13:00          | 1,5      | 7,3     
 | 04-09-2016 14:00          | 0,8      | 20,9    
 | 04-09-2016 15:00          | 3,9      | 14,8    
 | 04-09-2016 16:00          | 1,4      | 14,1    
 | 04-09-2016 17:00          | 2,2      | 18,7    
 | 04-09-2016 18:00          | 6,8      | 16,0    
 | 04-09-2016 19:00          | 7,2      | 14,1    
 | 04-09-2016 20:00          | 6,0      | 16,7    
 | 04-09-2016 21:00          | 8,4      | 11,9    
 | 04-09-2016 22:00          | 5,0      | 18,2    
 | 04-09-2016 23:00          | 5,3      | 13,3    
 | 04-09-2016 24:00          | 2,9      | 11,9    
 | 05-09-2016 1:00           | 1,4      | 9,1     
 | 05-09-2016 2:00           | 0,1      | 6,8     
 | 05-09-2016 3:00           | 2,6      | 3,4     
 | 05-09-2016 4:00           | 2,5      | 5,5     
 | 05-09-2016 5:00           | 3,1      | 12,8    
 | 05-09-2016 6:00           | 8,3      | 26,3    
 | 05-09-2016 7:00           | 9,4      | 29,4    
 | 05-09-2016 8:00           | 10,6     | 27,2    
 | 05-09-2016 9:00           | 12,3     | 29,9    
 | 05-09-2016 10:00          | 1,5      | 15,3    
 | 05-09-2016 11:00          | 0,0      | 12,4    
 | 05-09-2016 12:00          | 2,7      | 9,5     
 | 05-09-2016 13:00          | 0,6      | 9,6     
 | 05-09-2016 14:00          |          | 10,7    
 | 05-09-2016 15:00          |          | 12,4    
 | 05-09-2016 16:00          | 0,0      | 14,1    
 | 05-09-2016 17:00          | 0,0      | 17,5    
